Period,Regime,ETF,Weight,Expected_Return,Sharpe_Ratio,Observations
Pre-GARP,"Rising Growth, Falling Inflation",USA_Momentum,0.13435783178740368,1.2270272454544968,0.789168818381819,16
Pre-GARP,"Rising Growth, Falling Inflation",EAFE_MinVol,0.25,1.2270272454544968,0.789168818381819,16
Pre-GARP,"Rising Growth, Falling Inflation",USA_MinVol,0.25,1.2270272454544968,0.789168818381819,16
Pre-GARP,"Rising Growth, Falling Inflation",Europe_Momentum_EUR,0.23573753035899409,1.2270272454544968,0.789168818381819,16
Pre-GARP,"Rising Growth, Falling Inflation",Europe_Momentum_USD,0.1299046378536023,1.2270272454544968,0.789168818381819,16
Pre-GARP,"Slowing Growth, Rising Inflation",USA_Momentum,0.25,0.849622863636363,0.356502896233043,22
Pre-GARP,"Slowing Growth, Rising Inflation",EAFE_MinVol,0.24999999999999883,0.849622863636363,0.356502896233043,22
Pre-GARP,"Slowing Growth, Rising Inflation",World_Momentum,0.24999999999999967,0.849622863636363,0.356502896233043,22
Pre-GARP,"Slowing Growth, Rising Inflation",USA_MinVol,0.24999999999999914,0.849622863636363,0.356502896233043,22
Pre-GARP,"Slowing Growth, Falling Inflation",Dividend_Growth,0.24999999999999983,0.5745148888888889,0.11812490267039287,9
Pre-GARP,"Slowing Growth, Falling Inflation",SP500_Value,0.25,0.5745148888888889,0.11812490267039287,9
Pre-GARP,"Slowing Growth, Falling Inflation",USA_MinVol,0.25,0.5745148888888889,0.11812490267039287,9
Pre-GARP,"Slowing Growth, Falling Inflation",Europe_Momentum_EUR,0.25,0.5745148888888889,0.11812490267039287,9
Pre-GARP,"Rising Growth, Rising Inflation",Dividend_Growth,0.25,2.578461538461538,0.8835627506678879,13
Pre-GARP,"Rising Growth, Rising Inflation",USA_Momentum,0.2499999999999999,2.578461538461538,0.8835627506678879,13
Pre-GARP,"Rising Growth, Rising Inflation",SP500_Value,0.2499999999999998,2.578461538461538,0.8835627506678879,13
Pre-GARP,"Rising Growth, Rising Inflation",Asia_50,0.2499999999999999,2.578461538461538,0.8835627506678879,13
Post-GARP,"Rising Growth, Falling Inflation",USA_Momentum,0.25,1.2665512566453567,0.2809131129898751,14
Post-GARP,"Rising Growth, Falling Inflation",SP500_Value,0.16758254491028501,1.2665512566453567,0.2809131129898751,14
Post-GARP,"Rising Growth, Falling Inflation",Asia_50,0.11337150756601523,1.2665512566453567,0.2809131129898751,14
Post-GARP,"Rising Growth, Falling Inflation",EAFE_MinVol,0.19604268857402712,1.2665512566453567,0.2809131129898751,14
Post-GARP,"Rising Growth, Falling Inflation",World_Momentum,0.023003258949672513,1.2665512566453567,0.2809131129898751,14
Post-GARP,"Rising Growth, Falling Inflation",USA_MinVol,0.25,1.2665512566453567,0.2809131129898751,14
Post-GARP,"Slowing Growth, Rising Inflation",Dividend_Growth,0.2499999999999997,-0.8930625263157916,-0.213058536868966,19
Post-GARP,"Slowing Growth, Rising Inflation",Asia_50,0.25,-0.8930625263157916,-0.213058536868966,19
Post-GARP,"Slowing Growth, Rising Inflation",Europe_Momentum_EUR,0.25,-0.8930625263157916,-0.213058536868966,19
Post-GARP,"Slowing Growth, Rising Inflation",Europe_Momentum_USD,0.25,-0.8930625263157916,-0.213058536868966,19
Post-GARP,"Slowing Growth, Falling Inflation",USA_Momentum,0.21542895146505978,4.005612805583706,1.1735880765756779,18
Post-GARP,"Slowing Growth, Falling Inflation",USA_GARP,0.24999999999999978,4.005612805583706,1.1735880765756779,18
Post-GARP,"Slowing Growth, Falling Inflation",World_Momentum,0.07808328674101604,4.005612805583706,1.1735880765756779,18
Post-GARP,"Slowing Growth, Falling Inflation",Europe_Momentum_EUR,0.24999999999999997,4.005612805583706,1.1735880765756779,18
Post-GARP,"Slowing Growth, Falling Inflation",Europe_Momentum_USD,0.20648776179392417,4.005612805583706,1.1735880765756779,18
Post-GARP,"Rising Growth, Rising Inflation",Dividend_Growth,0.24999999999999983,1.8709228392857142,0.41226531885980006,14
Post-GARP,"Rising Growth, Rising Inflation",USA_GARP,0.2499999999999999,1.8709228392857142,0.41226531885980006,14
Post-GARP,"Rising Growth, Rising Inflation",USA_MinVol,0.24999999999999986,1.8709228392857142,0.41226531885980006,14
Post-GARP,"Rising Growth, Rising Inflation",Europe_Momentum_EUR,0.24999999999999997,1.8709228392857142,0.41226531885980006,14
